split,model,data_type,n_features,train_mse,test_mse,train_rmse,test_rmse,train_mae,test_mae,train_r2,test_r2
80:20,Linear Regression,Original,47,1.1442758156602828,1.302430863067316,1.06970828530973,1.1412409312092324,0.9163041450690518,0.9583354178926178,0.04883243319547492,-0.030282553721918015
80:20,Ridge,Original,47,1.144277421038448,1.30187911217972,1.0697090356907564,1.140999172734021,0.9163497056105522,0.9580997732179661,0.04883109874129654,-0.029846093461638246
80:20,Lasso,Original,47,1.19943859272159,1.2622520546316394,1.0951888388408595,1.1234999130536858,0.9509626632238316,0.9678283214713557,0.0029789390313008646,0.0015007267073581243
80:20,KNN,Original,47,0.9584013605442179,1.5512925170068026,0.9789797549205079,1.2455089389509826,0.8246598639455782,1.0408163265306123,0.20333867267397565,-0.22714353699161705
80:20,MLP,Original,47,1.1578421921203794,1.46374422885106,1.0760307579806347,1.2098529781965492,0.9198552807270653,1.0196526511033899,0.03755552153544972,-0.15788882531912574
70:30,Linear Regression,Original,47,1.1425576205022168,1.2702447263332364,1.0689048697158305,1.1270513414806071,0.9191309360161477,0.9612919712966698,0.049449248578882554,-0.02046589044304481
70:30,Ridge,Original,47,1.1425601895945443,1.2696668746339987,1.0689060714555532,1.1267949567840632,0.9192110962184536,0.9610940410886162,0.04944711122265766,-0.02000166655249691
70:30,Lasso,Original,47,1.1987954057312797,1.2446224513128201,1.094895157415211,1.1156264837806693,0.9555885131969514,0.969221409482577,0.0026622261578618245,0.00011806251644674859
70:30,KNN,Original,47,0.962798833819242,1.5197278911564627,0.9812231315145613,1.2327724409462042,0.8287657920310981,1.039002267573696,0.1989995615696123,-0.22089109565274834
70:30,MLP,Original,47,1.014072045234582,1.39339021055529,1.0070114424546437,1.1804195061736695,0.8523804392396807,1.0147291729118306,0.15634281606805744,-0.11939624898383738
60:40,Linear Regression,Original,47,1.1296505667544097,1.2828559937389574,1.0628502089920338,1.1326323294604288,0.9151799802893756,0.9685889034254119,0.06268021744821861,-0.04475622427923476
60:40,Ridge,Original,47,1.1296669231368528,1.2814208403110567,1.0628579035491306,1.1319986043768149,0.9153284371031946,0.968126190913232,0.06266664585246495,-0.043587437226040526
60:40,Lasso,Original,47,1.2024678112976943,1.2308416578521835,1.0965709330899185,1.1094330344154095,0.9595615866530623,0.9667188847692029,0.002260609978424921,-0.0023958179400367374
60:40,KNN,Original,47,0.9431292517006803,1.5503401360544218,0.9711484189868613,1.2451265542323084,0.817687074829932,1.0564625850340137,0.21744499481626522,-0.26259495594044346
60:40,MLP,Original,47,1.2058658308235601,1.460795238862781,1.0981192243210935,1.2086336247443974,0.9378785317088072,1.0288963668386968,-0.0005588733351118425,-0.18966971012173994
80:20,Linear Regression,PCA,15,1.181492634164012,1.2657210351299515,1.0869648725529322,1.1250426814703305,0.9371193074028978,0.9582942044945063,0.017896333510477924,-0.001243395985032203
80:20,Ridge,PCA,15,1.1814926432559025,1.2657111469250633,1.0869648767351696,1.125038286870746,0.9371254937380672,0.958300407115916,0.017896325952936887,-0.0012355739614047234
80:20,Lasso,PCA,15,1.2030223228747279,1.2653646917950852,1.0968237428478325,1.124884301515087,0.9521755981304085,0.9695265861446619,0.0,-0.0009615120620858342
80:20,KNN,PCA,15,0.9419387755102041,1.605442176870748,0.9705353035877696,1.2670604472047686,0.8107142857142858,1.0598639455782313,0.21702302808533236,-0.2699784017278617
80:20,MLP,PCA,15,1.1476149087072092,1.460743945679508,1.071267897730166,1.208612405066036,0.9131539919805323,1.0286754146519739,0.04605684625628381,-0.1555154637108207
70:30,Linear Regression,PCA,15,1.1823748054197105,1.2366831434374272,1.0873705924935209,1.112062562735311,0.9425742066455758,0.9564391246714283,0.01632334371102917,0.006496197936029513
70:30,Ridge,PCA,15,1.1823748166688561,1.2366783193989128,1.0873705976661574,1.1120603937731588,0.9425833582682462,0.9564479065063838,0.016323334352303154,0.006500073383536642
70:30,Lasso,PCA,15,1.201995389298299,1.247695987090287,1.096355503155021,1.1170031276098948,0.9566516596920595,0.9707661490252076,0.0,-0.0023510982357612953
70:30,KNN,PCA,15,0.9174732750242954,1.5500226757369615,0.9578482526080504,1.2449990665606787,0.802332361516035,1.0507936507936508,0.23670815779093946,-0.24522876356966994
70:30,MLP,PCA,15,1.1755841250066075,1.4417526020266909,1.084243572730135,1.2007300287852765,0.9243202087349898,1.024939537719739,0.021972849918425963,-0.15824873925890537
60:40,Linear Regression,PCA,15,1.1808504412831822,1.2318579640157206,1.0866694259447913,1.1098909694270518,0.9434292597138654,0.956794822182708,0.020197473958903034,-0.0032234963352042456
60:40,Ridge,PCA,15,1.1808504592954372,1.2318428140214526,1.0866694342326175,1.1098841444139351,0.9434420135565995,0.9568023746146858,0.020197459013358343,-0.0032111581999134664
60:40,Lasso,PCA,15,1.20519228099403,1.2327618122078765,1.097812498104312,1.1102980735855918,0.9604177271815756,0.9681729834791059,0.0,-0.003959589107243255
60:40,KNN,PCA,15,0.9214965986394559,1.4427891156462584,0.9599461436140342,1.201161569334558,0.8015873015873016,1.0193877551020407,0.23539453979956204,-0.1750055471935439
60:40,MLP,PCA,15,1.1186284838322906,1.4438195833349319,1.0576523454483002,1.2015904390993346,0.9028694819422887,1.0340327316532776,0.07182571488952982,-0.17584475871604877
